Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Braden Holtby,,,G,8300,WAS,@CAR,1,44%,3.18,59.4,58.1,57.6,0.908,0.910,4.2,4.4,4.5,0.9,8.0,3.7,0.4,0.0,0.0
Martin Jones,,,G,8200,SJ,CHI,2,65%,2.76,49.3,57.0,57.9,0.902,0.898,1.1,4.3,4.0,0.4,7.5,4.5,0.5,0.0,0.0
Connor Hellebuyck,,,G,8100,WPG,NYI,2,60%,2.48,54.3,59.3,58.6,0.915,0.913,6.8,5.1,4.8,1.8,7.8,5.1,0.6,0.0,0.0
Mikko Koskinen,,,G,8000,EDM,DAL,1,49%,2.77,53.6,53.4,54.3,0.904,0.908,2.8,3.8,4.1,0.3,7.9,4.5,0.6,0.0,0.0
Carey Price,,,G,7900,MON,@CLS,1,42%,2.95,60.6,58.2,58.8,0.928,0.918,7.4,5.3,4.8,1.4,8.1,4.0,0.5,0.0,0.0
Jacob Markstrom,,,G,7900,VAN,LA,1,56%,2.58,61.4,59.5,59.9,0.919,0.912,3.7,4.6,4.4,1.4,7.4,5.0,0.6,0.0,0.0
Sergei Bobrovsky,,,G,7600,CLS,MON,1,57%,2.55,59.7,56.9,57.5,0.911,0.911,8.1,4.7,4.7,0.6,8.7,5.0,0.7,0.0,0.0
Linus Ullmark,,,G,7600,BUF,DET,1,59%,2.73,54.7,56.5,56.5,0.906,0.906,1.2,4.0,4.0,0.2,7.9,5.2,0.7,0.0,0.0
Jimmy Howard,,,G,7500,DET,@BUF,2,41%,3.27,60.7,56.2,56.3,0.907,0.908,5.3,4.0,4.0,0.7,7.3,3.6,0.5,0.0,0.0
Anders Nilsson,,,G,7400,OTT,FLA,1,43%,3.46,59.5,56.7,56.7,0.907,0.907,6.0,4.0,4.0,0.0,8.1,3.8,0.5,0.0,0.0
Roberto Luongo,,,G,7300,FLA,@OTT,1,56%,3.04,58.8,54.0,54.0,0.897,0.897,3.1,3.3,3.3,-0.1,6.7,4.6,0.6,0.0,0.0
Thomas Greiss,,,G,7200,NYI,@WPG,1,40%,3.02,53.1,52.7,53.1,0.925,0.926,4.1,4.8,4.9,0.8,8.9,4.2,0.6,0.0,0.0
Anton Khudobin,,,G,7100,DAL,@EDM,0,51%,2.73,48.3,53.2,53.2,0.924,0.924,3.4,4.5,4.5,0.8,8.1,4.2,0.6,0.0,0.0
Jonathan Quick,,,G,7100,LA,@VAN,1,43%,2.92,52.3,57.7,57.5,0.891,0.888,2.1,3.2,3.0,-0.4,6.5,3.7,0.5,0.0,0.0
Corey Crawford,,,G,7000,CHI,@SJ,1,35%,3.74,59.3,57.1,57.1,0.909,0.909,3.6,4.0,4.0,0.3,7.7,3.3,0.5,0.0,0.0
Curtis McElhinney,,,G,6700,CAR,WAS,1,56%,2.82,60.7,60.1,60.1,0.915,0.915,3.0,4.9,4.9,1.1,8.8,5.0,0.7,0.0,0.0
